"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 5","W4Efsd 6"
"https://www.google.com/maps/place/Escape+Room+Kenya/data=!4m7!3m6!1s0x182f1b65b4ebceaf:0xed4177ba1dda9b09!8m2!3d-1.329988!4d36.6803992!16s%2Fg%2F11c2k98619!19sChIJr87rtGUbLxgRCZvaHbp3Qe0?authuser=0&hl=en&rclk=1","Escape Room Kenya","4.6","(189)","Escape room center","·","","Closed","· Opens 11 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDr8CM0o1u6eWa39Ffn0Ap5INkvqkBMF2R2wZaZECictKkentWlTkzr_a6PhQ4m0YxaEWKoTntQDDTQ5dadRm06wLNL1GALpDBm61ks-pq0TwIDjw7muIzMI2v9p-kjxc7A20=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent design, interesting puzzles, helpful staff!""","","","·","Ngong Rd"
"https://www.google.com/maps/place/Paintball+Fury+-+Kenya/data=!4m7!3m6!1s0x182f1b6618451f49:0xd3212725fd940ca7!8m2!3d-1.3278639!4d36.7135489!16s%2Fg%2F1tdhpprd!19sChIJSR9FGGYbLxgRpwyU_SUnIdM?authuser=0&hl=en&rclk=1","Paintball Fury - Kenya","4.4","(347)","Paintball center","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepizZyu9qGFKTmEhnNAZBg1G7Xoppf2sMT-18wLB3qDlo4n-TubmbAqAwjJQMKL_at380Rx_azisVX6AJTfFKiWMsg3UH58GVfrCUUcvxmzLWqlNW7D9av8y3zbTkG8Y9ByLLuj=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... staff, clear safety instructions and well-being-organized","games",".""","·","The Waterfront"
"https://www.google.com/maps/place/2B+Gamers+Store/data=!4m7!3m6!1s0x1782198fc9b7d305:0xe38561c8c2d39ebe!8m2!3d-1.2840962!4d36.8267744!16s%2Fg%2F11lhdv4g12!19sChIJBdO3yY8ZghcRvp7TwshhheM?authuser=0&hl=en&rclk=1","2B Gamers Store","4.6","(85)","Video game store","·","","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerFJhj4J4q9KFyDG7JI83Wb1m5xVviXMkmmxdNbTSqv_qhb2Z260WVIER7sG_UliC5IYtLftRTWw8UaZUGlbRG1GTIZF57Ft9so-PA84iZ55DRLgw5Xx6QrA2BHKXuxvFEjc2AX=w93-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good deals for consoles and","games",".""","Luthuli Avenue Gaberone Plaza, First Floor Luthuli Ave",""
"https://www.google.com/maps/place/Pins+Entertainment+%7C+Kids+Play+Area+%7C+Games+and+Food/data=!4m7!3m6!1s0x182f17797e8216ff:0x56da46f2daac3d86!8m2!3d-1.2611605!4d36.8019777!16s%2Fg%2F11j97m0ygy!19sChIJ_xaCfnkXLxgRhj2s2vJG2lY?authuser=0&hl=en&rclk=1","Pins Entertainment | Kids Play Area | Games and Food","4.6","(888)","Bowling alley","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6fNbdZeyNV7Op5UUsAwLXzNWDi7iAA2i7LCiGyVqgwcf5HGt3SvbJ5ElRGKsPNDjtwNEKpZYirDp0XURS-oGWM83zWR_8QttbyraDVywWeDlBf14YFYnBzboerAPzkjUBt9A=w121-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Variety of","games","and great customer experience""","·","Sarit Centre, Sarit Centre1st Floor Old Wing, Karuna Rd"
"https://www.google.com/maps/place/Gravity+Merchants/data=!4m7!3m6!1s0x182f10d60e6b4615:0x3f0bee1d2d76f26f!8m2!3d-1.2833846!4d36.823789!16s%2Fg%2F11c2qxrj4z!19sChIJFUZrDtYQLxgRb_J2LR3uCz8?authuser=0&hl=en&rclk=1","Gravity Merchants","4.3","(483)","Game store","·","","Closed","· Opens 8:30 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOCJx7Ycr4edqLjQLuuF4lwqMpXJjHmI2UVDOx6uBQXKHY8Hin9SCWigeevYZCbX7wUQj4372ziEhadVgu9ZyHCDK-JU3qatA-qXMaVL55fr5P_R5pJ-xFFqzp4BkynTNMTZaw=w137-h92-k-no","","Delivery","","","Moi Avenue",""
"https://www.google.com/maps/place/Pro+Series+Gaming+%28eSports+%26+Gaming%29/data=!4m7!3m6!1s0x182f17dc8d8fe887:0x7ae4aeb8b765378a!8m2!3d-1.2611747!4d36.7894122!16s%2Fg%2F11qyq4md67!19sChIJh-iPjdwXLxgRijdlt7iu5Ho?authuser=0&hl=en&rclk=1","Pro Series Gaming (eSports & Gaming)","4.0","(4)","Corporate office","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQbiU3zqSKBVLAjS1BJppFmU9kA00WddyLPd5YzTQFtBm8Mo4o-qP9AKy5YmUoicK56WN_2DKZ46zIayHQMtlgwDmZE1UuJf5aeOTNfCgi9wE7WiyCb3blSBegnHq4_wHMHyri2A=w92-h92-k-no","","","","","Le'Mac, Church Rd",""
"https://www.google.com/maps/place/Mekan+Games+LTD/data=!4m7!3m6!1s0x182f190b35c8f345:0x463f7e9c16b00550!8m2!3d-1.2597405!4d36.7775694!16s%2Fg%2F11t7hftqlh!19sChIJRfPINQsZLxgRUAWwFpx-P0Y?authuser=0&hl=en&rclk=1","Mekan Games LTD","5.0","(2)","Computer service","·","","Closed","· Opens 9 am","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wonderful team with an extraordinary CEO""","","","ABC Place Waiyaki Way - Block B",""
"https://www.google.com/maps/place/Game+Nights+254/data=!4m7!3m6!1s0x643385f581341783:0x476b692a7adb369a!8m2!3d-1.2829395!4d36.8227909!16s%2Fg%2F11qg0hxg_b!19sChIJgxc0gfWFM2QRmjbbeippa0c?authuser=0&hl=en&rclk=1","Game Nights 254","4.9","(25)","Game store","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqXkvkBXr4MQzi98neERFHw8HPFc8CDtT_L8q6onIiUU6e6FxnIKB-nL3u9vI6-LvkHWS_iyZwDQfPp_Y7lGoBX1Hycn9Jj2Pi3SwjieOUFGGxE2zAQpVNkHUodFGn6oG51zTljOVLpJEZ=w80-h98-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""EXCELLENT SERVICE AND VERY GOOD QUALITY","GAMES","!!!""","Digital Shopping Mall Shop F8, along Moi Avenue - 2nd Floor, Opposite Sasa Mall",""
"https://www.google.com/maps/place/Best+Player+Arcade/data=!4m7!3m6!1s0x182f11410def4dc5:0xc96d01c22e1a5b83!8m2!3d-1.3114994!4d36.8010867!16s%2Fg%2F11n60nvlgb!19sChIJxU3vDUERLxgRg1saLsIBbck?authuser=0&hl=en&rclk=1","Best Player Arcade","5.0","(6)","Video arcade","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoEWF3ftpASnQR5QwoaU_EL7I9YOBvxSjYj5-XxZSa7qjVqUaAOzUZM6L_I1jJ2xzbN0XK1EeBHQVLbDHkxXw32e4-ZYOP_sQkDVxU2wb6N-I1yo3qlHZbw4LJt6dN5Ab_o0dA0=w162-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Has a very chill environment, with very chilled out guys.""","","","Ngummo, near Magiwa estate opp Peace Junior",""
"https://www.google.com/maps/place/Ulinzi+Sports+Complex+-+Langata/data=!4m7!3m6!1s0x182f117e8b602a2d:0xcbadd496b3d4d07d!8m2!3d-1.3297215!4d36.7901273!16s%2Fg%2F11rvjn5180!19sChIJLSpgi34RLxgRfdDUs5bUrcs?authuser=0&hl=en&rclk=1","Ulinzi Sports Complex - Langata","4.6","(587)","Sports complex","·","","","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOAb0t2SDJ5byMFKlfiH9i9dyPVEz4o_YHilQB_KIkeRBxngddFzLFErR89rY6p14w4NOw_maZuMBhSG81O7-ghxxQtOHfWH7Z02iNkqQ37hhpKPsFtXiq8mc1e77EJA9uFnfM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""CLEAN AND COZY PLACE TO WATCH","GAMES","""","·","54871 Langata Rd"
