"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Gravity+Amusement+Park/data=!4m7!3m6!1s0x182f6b90712c56bd:0x9f9da900f1c461bb!8m2!3d-1.228824!4d36.9896057!16s%2Fg%2F11qnt2b3g1!19sChIJvVYscZBrLxgRu2HE8QCpnZ8?authuser=0&hl=en&rclk=1","Gravity Amusement Park","4.3","(539)","Amusement park","·","","·","E. Bypass","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwera6C3z5fEPNKi5jcck5Z8F4CLf_jO181BXjZ2T4NEBUMqza7iFwwSh6za26E76jvq1Se8O4Biam2zqYiu1WnyQBf4BP5vqoHdCIp81t1_XPO2jXAxq_eQhU8CDOy7N3ecxz0fU1Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kids enjoyed the merry-go-round and castle.""","",""
"https://www.google.com/maps/place/LASERLAND/data=!4m7!3m6!1s0x182f1bd8d3e28395:0x6ca577e6212057b6!8m2!3d-1.3410186!4d36.7521191!16s%2Fg%2F11nnv9jlsd!19sChIJlYPi09gbLxgRtlcgIeZ3pWw?authuser=0&hl=en&rclk=1","LASERLAND","4.6","(157)","Amusement center","·","","","","Closed","· Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgB8uH5bZ2s8eoB7lb_mieAT3tgpkhIRe3PgO46vYIACBodmnT-X5h7xTP4lkypCypCz5TyZzbgb50TylFQK8I_uXaE1wsuEQmg8Zfk4HdWDAEca-ELeZysqNgnlGWk3kQY6aR=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A","fun","filled facility with exciting"
"https://www.google.com/maps/place/Funscapes+Two+Rivers+Theme+Park/data=!4m7!3m6!1s0x182f3dc0bf5a3d87:0xce0e27082d26f3d0!8m2!3d-1.2090689!4d36.7962022!16s%2Fg%2F11fm6jx908!19sChIJhz1av8A9LxgR0PMmLQgnDs4?authuser=0&hl=en&rclk=1","Funscapes Two Rivers Theme Park","4.5","(2,174)","Amusement park","·","","·","QQQV+CR3, Limuru Road, Northern Bypass Rd","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwersEPcITdST8U1JmGbjUi-EmN5M0k-g_bzOw1ynM6Q9ipzoXcmhtiAAJJYxcUwncF7l9MrhPmk_v_BxEZWk1Xs7gvCClo13fvm3Oj4Ovf7KdoPIgjTLqf19BQsPT19Hns4ygKV3=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It has very exciting","activities","for both children and older persons."""
"https://www.google.com/maps/place/Maji+Magic/data=!4m7!3m6!1s0x182f1b38f6fe4ba7:0xb2ab2758181e2b8!8m2!3d-1.3291914!4d36.7158394!16s%2Fg%2F11hdngd853!19sChIJp0v-9jgbLxgRuOKBgXWyKgs?authuser=0&hl=en&rclk=1","Maji Magic","4.4","(750)","Water park","·","","·","The Waterfront Mall, Langata Rd","Closed","· Opens 9:30 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGZUp8uhVSvuB4NGzBKh_yherqllRfkFODjgdRKj5sAC8o8OMDwbmCOIKEauqL4TwnhHE2f5zebnoVO2TEA2FEIOloER17a0wGBx7SP8CruEXjJSf9ZrfSIN-yFRZH9duZYVwM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They offer a lot of discount for the kids and free rides too.""","",""
"https://www.google.com/maps/place/Vipe+Fun+Park-Ruiru/data=!4m7!3m6!1s0x182f47c2054f0145:0xc91c126e9a535d76!8m2!3d-1.138739!4d36.9647127!16s%2Fg%2F11np3p3l91!19sChIJRQFPBcJHLxgRdl1Tmm4SHMk?authuser=0&hl=en&rclk=1","Vipe Fun Park-Ruiru","4.0","(258)","Children's amusement center","·","","·","Mugutha","Closed","· Opens 9 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6YUNYN71GCbOZddq_6DHL3HZ9uhvoGU9WYMVjjtzV55SslHZ_aaaotTEUak2ARz95Mi_Q8Gx9BdLWxq_weISNF-yYm5-Y3pNe75mOybJgQWgtSXT5e4SX_nt_llbdSk2kAAQ5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Big swimming pool, bouncing castle, and other kids items""","",""
"https://www.google.com/maps/place/Burudani+adventure+park/data=!4m7!3m6!1s0x182f29600ed5bcb5:0xbe1060ce109570d7!8m2!3d-1.0931286!4d36.6692821!16s%2Fg%2F11q9hqm0x9!19sChIJtbzVDmApLxgR13CVEM5gEL4?authuser=0&hl=en&rclk=1","Burudani adventure park","4.6","(658)","Park","·","","","","","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepUpt8dj5C1spJ2bUvZRyIUtdCcBIDfSQ_Z4EBSb0oo6Aw8QM_UjSlRdTdLqxXBl6fPZapRfRO8vbRSNV5YS7FYxOgrm-8gWFa7fihvSXW5-jNhQB_wXHyEzeweD3NzHkYppKf5ww=w80-h120-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The kids had a blast with the treasure hunt, high ropes, and zip lining.""","",""
"https://www.google.com/maps/place/Bounce+and+Play/data=!4m7!3m6!1s0x182f17ebad659097:0x1a5406d86cf47209!8m2!3d-1.2707119!4d36.8129802!16s%2Fg%2F11v3zpn2j9!19sChIJl5BlresXLxgRCXL0bNgGVBo?authuser=0&hl=en&rclk=1","Bounce and Play","4.9","(648)","Children's amusement center","·","","·","BroadWalk Mall, 2nd Floor Ojijo Rd","Closed","· Opens 10 AM Thu","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZS9iTDgQHw57pTu8CfxbyLXXiYH8xzmdUyetHmbv-nsMxtL_5tnois49TmFFRT8sErrYv8aN0qxDDtB7ToZeWf6LMhni6QMHRWPyoSxIh-NFI_RFP3lBymyLDRL3RatS-Htrs0sffmBH5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The sheer variety of","activities","kept everyone engaged and entertained."""
"https://www.google.com/maps/place/Nkasiri+Adventure+Park/data=!4m7!3m6!1s0x182fa11c6fd69923:0x9517811c8cd7a36!8m2!3d-1.5300625!4d36.8598125!16s%2Fg%2F11ql1hdjgw!19sChIJI5nWbxyhLxgRNnrNyBF4UQk?authuser=0&hl=en&rclk=1","Nkasiri Adventure Park","4.3","(729)","Amusement park","·","","·","FV95+XW, Acacia Feeder Road","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepz15Kpu-HtTp4RoLPOPR5KOveTpGDZ7MErXmRX2R7enqF__J_DA4AOgGLL2yppGsSLn6JrFqDHuI_BsZnXA8G6rXAf7nXoUOHTWuzxXvtZD3frbcPx2x-M191DzukqjLhOVcE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have","fun activities",",  friendly staff, and expansive field."""
